Pizzeria,Style,Rating,Notes,Date Time,State,Location,Image
&pizza - Dupont,Fast Casual,4,great for what it is. best fast casual chain i've tried.,,DC,"38.906351639895284, -77.04122570935567",
&pizza - E Street,Fast Casual,4,great for what it is. best fast casual chain i've tried.,,DC,"38.89630674767983, -77.02637050458111",
&pizza - Barracks Row,Fast Casual,4,great for what it is. best fast casual chain i've tried.,,DC,"38.88350031985225, -76.99523679571624",
&pizza - U Street,Fast Casual,4,great for what it is. best fast casual chain i've tried.,,DC,"38.91677130235951, -77.0292395527263",
&pizza - Chinatown,Fast Casual,4,great for what it is. best fast casual chain i've tried.,,DC,"38.89997799759951, -77.02229733102595",
90 Second Pizza,Neapolitan,4,fantastic crust but cheese leaves something to be desired,,DC,"38.9047801, -77.0625963",Pizza_Images/412c583a.Image.054736.jpg
All Purpose - Navy Yard,,3,whole wheat flour in the dough is unforgivable,6/10/2018 8:39:00,DC,"38.8710332, -77.0065151999999",Pizza_Images/All Purpose.Image.043858.jpg
Andy's - Shaw,New York,5,Light and crispy crust. only NY style in DC area remotely competitive with NYC offerings,4/6/2020 21:28:00,DC,"38.9175168, -77.0242074999999",Pizza_Images/Andy-s.Image.023701.jpg
Angelico Pizzeria,New York,3,generous 3. just not a very good flavor. but at least not overloaded with cheese or with a super thick crust...,,DC,"38.920555, -77.071727",Pizza_Images/Angelico Pizzeria.Image.190307.jpg
Aslin - Alexandria,Hybrid,4,crust a bit too sourdough-y and thick. and not enough sauce. but overall good. ,,VA,"38.8042185, -77.138262",
Boogy and Peel,Neapolitan,4,"crust quite good. cheese good, I think a lot of provolone in there. needs more sauce. And honestly crust too thin. Best element, but thinness masks this. Second visit- okay, crust is way too thin. and too much provo",,DC,"38.9090754, -77.0444828999999",Pizza_Images/Boogy and Peel.Image.005357.jpg
Colony Grill,Bar,4,"super thin bar pie. tasty and good value. crust is probably the highlight. sauce and cheese work but nothing to write home about

Repeat visit: excellent sausage. Hot oil good.",,VA,"38.887758, -77.0928076",Pizza_Images/Colony Grill.Image.231217.jpg
Glen's Garden Market,Hybrid,3,"Has potential. Particularly crust. Tomatoes were a bit acidic, cheese was good quality but too much quantity. And man oh man that was a lot of cornmeal. I've never had a pizza that actually tasted like corn before. ",,DC,"38.9144185, -77.0451312",
DC Pizza,Fast Casual,3,"&pizza knockoff (or is it the reverse?). same ovens, dough prep, shape. enjoyable, but probably a slight step down from &. however, pies are a bit larger and they seem to be a bit more generous with toppings. ",,DC,"38.9040519, -77.0431914",
DC Stone PIzza,Jumbo Slice,2,,,DC,"38.9171281, -77.034793",
Declaration,,1,unbelievably bad. cheese was clearly pre-shredded and not even fully melted,,DC,"38.8758267, -77.0061048999999",
Dominos - Dupont Circle,,3,consistent,,DC,"38.902819626247094, -77.04608089819588",
Duccini's,Jumbo Slice,3,decent for what it is,,DC,"38.9167961, -77.0412156",Pizza_Images/Duccini-s.Image.023313.jpg
Dupont Pizza,New York,3,crust is better than expected. decent attempt at ny style instead of the weird spongey 'jumbo slice' standard. but sauce and cheese disappointing. sauce had a bit of a weird flavor - roasted red pepper?,,DC,"38.9095265, -77.0453182999999",
Emmy Squared - Shaw,Detroit,5,,,DC,"38.916518, -77.0231878",Pizza_Images/Emmy squared.Image.025745.jpg
Flippin Pizza,New York,3,Crust is passable but sauce and cheese leave a lot to be desired. cheese is low quality and too much Italian seasoning in the sauce. ,,DC,"38.913913, -77.0454951",
il Canale,Neapolitan,4,"good, but pie I got was too salty. repeat visits have been better.",,DC,"38.9044867, -77.0609660999999",
Ivy and coney,Detroit,3,,,DC,"38.9106537, -77.0217440999999",
Ivy City Smokehouse,Hybrid,4,crust was quite good although underbaked. but very tender. sauce and cheese mostly forgettable. need to try again,,DC,"38.9145381, -76.9854629",
Joe's Place,New York,3,,,VA,"38.8959767, -77.1403151",
Justin's Cafe,New York,4,RIP,,DC,"38.8778563, -77.0061581",
Leos Eatery,,1,frozen pizza quality. spongey crust,,DC,"38.874924, -77.009438",
Lupo Marino,Neapolitan,4,surprisingly good.,,DC,"38.8790312, -77.024179",
Mellow Mushroom - AdMo,,2,,,DC,"38.9216023, -77.0425091999999",
Menomale - Brookland,Neapolitan,3,sadly pies were undercooked. potential was there. need to try again,,DC,"38.924844, -76.99022",
Nicoletta Pizzeria,,2,"first couple bites okay in a greasy guilty pleasure kind of way...but after that just super heavy and dense...thick crust, low quality toppings",,DC,"38.873408, -77.0014764999999",
Officina,Al Taglio,4,,,DC,"38.8812416, -77.0270115",
Old City Market and Oven,Hybrid,3,"not bad, but no real reason to order here again",,DC,"38.902826, -76.9986359999999",
Pi Pizzeria,Deep Dish,2,i mean it was okay...,,DC,"38.8971254999999, -77.0247466999999",
pie-tanza,,3,forgettable,,VA,"38.897732, -77.138714",
Pizza Mart,Jumbo Slice,3,maybe the best jumbo slice? not as crazy an amount of cheese as elsewhere,,DC,"38.921705, -77.042005",
Pizzeria Orso,Neapolitan,4,,,DC,"38.8807587, -77.1765795999999",
Pupatella - Dupont,Neapolitan,5,excellent and consistent.,,DC,"38.9143431, -77.0414645",Pizza_Images/Pupatella.Image.023831.jpg
Red Light,Detroit,4,"detroit style. good crust and cheese, though sauce leaves a lot to be desired (overly sweet and seasoned)",,DC,"38.9127738, -77.0321807",
Side Door,Detroit,3,sauce good. cheese pretty good. but crust disappointing. more doughy then chewy.,,DC,"38.8786675, -77.0052523",
slice and pie,New York,4,pretty good but too much cheese. solid crust.,,DC,"38.9199606, -77.0315249",
Slice Joint,New York,4,"pretty good. nice and thin crust. but wayyy overdid it on the oregano/italian herbs. crust was also a bit deflatable. it's a generous 4. lowering to 3 tbh. 

Ok, back up to 4. The squares are solid.",,DC,"38.8798035999999, -76.9852327",Pizza_Images/Slice Joint.Image.223104.jpg
Sonny's Pizza,Square,4,squares. need to try again,8/5/2019 22:07:00,DC,"38.9296409, -77.02373",Pizza_Images/Sonny-s Pizza.Image.043444.jpg
Stellina Pizzeria,Neapolitan,4,good but sort of generic,,DC,"38.9077598999999, -77.0003097",
Timber,Hybrid,4,"pretty good, but dough left something to be desired. good sauce, cheese, peps.",,DC,"38.942116, -77.023814",Pizza_Images/Timber.Image.023523.jpg
Turu's by Timber Pizza,New York,4,"pretty good, but dough could be better. good prices.",10/20/2019 13:48:00,VA,"38.8793846, -77.1107786999999",Pizza_Images/Turu-s by Timber Pizza.Image.030440.jpg
Vace,New York,5,"Liked it. Sauce on top, lots of mozz. Crust is very sturdy and unique. DC needs more places like this. the white onion pizza is amazing. update: just keeps growing on me. maybe my favorite in the city at this point? that mozz is fantastic",,DC,"38.934014, -77.0571519999999",
Vapiano's,Jumbo Slice,1,just so bad,,DC,"38.9136013, -77.0460150999999",
We The Pizza,New York,3,sadly not that good. sauce is bland.,,DC,"38.8866041, -77.0017192",
Whole Foods - Navy Yard,New York,3,lol better than must slice shops around DC. overpriced.,,DC,"38.8802819, -77.005121",
Wiseguys - Chinatown,New York,4,overpriced but good. meat pizza is better than cheese (never a good sign). 4 is on the generous side,,DC,"38.8996251, -77.0159817",
Clubhouse,Neapolitan,3,"not bad, but way overpriced for what it is",,DC,"38.9046406, -77.0629663",
99c,New York,3,"really not bad at all. All ingredients notably lower quality but in a well balanced way. Sauce pretty fresh. Dough kind of ""soft"" and cheese tastes a bit cheap (string cheese). But honestly decent. Would get again for sure.",8/19/2022 18:23:00,NY,"40.75372735503721, -73.97417952703084",Pizza_Images/99c.Image.024226.jpg
Best,New York,4,"perhaps it could never live up to my memory? Still good. But didn't blow me away. Not dry, good sauce. And nice mozz mostly fresh I think. but dough was a bit bready perhaps? Like floury kinda. Also could have done without oregano. repeat visit- mostly I think they're flouring the dough too much.",,NY,"40.7156564, -73.9534337999999",Pizza_Images/Best.Image.021910.jpg
Bleecker,New York,3,got margherita this time. Better than my last visit for sure. Quite enjoyable. Crust itself super dry and actually inedible but pizza part itseld worked well. Nice sauce and cheese.,,NY,"40.732198, -74.0034014",Pizza_Images/Bleecker.Image.022121.jpg
Corner Slice,Square,3,hmmmmm disappointing. Too crunchy and fried yet soft. And too oily. Almost pesto tasting with the degraded basil leaves. Peps have the nice cupping but bad flavor. Shame.,8/19/2022 13:09:00,NY,"40.7623377, -73.9967578999999",Pizza_Images/Corner.Image.024343.jpg
Don Antonio,Neapolitan,4,,,NY,"40.7626548, -73.9866646999999",
Filaga,New York,4,,9/14/2019 12:09:00,NY,"40.74215665549284, -74.00567694656515",Pizza_Images/Filaga.Image.030738.jpg
Fiore's Pizza,New York,4,,,NY,"40.728744, -74.0001179999999",
Ignazio's,New York,2,honestly not good. deceptive photo! 8.7 by barstool somehow. way too much oregano. nothing else particularly good,,NY,"40.703165291541914, -73.99372217801964",
Ivana's,New York,3,"kinda similar to pugsley. But too much cheese and salt, and sauce seemed pre cooked. But not bad. Crust solid chew",8/18/2022 14:08:00,NY,"40.8550664, -73.888213",Pizza_Images/Ivana.Image.024448.jpg
Joe's,New York,5,still the quintessential ny slice. Cheese flavorful and tomatoes fresh. Very thin crust. Great.,,NY,"40.7305876, -74.002141",Pizza_Images/Joe-s.Image.030554.jpg
John's of Bleecker St.,Hybrid,4,,9/14/2019 12:57:00,NY,"40.7316187, -74.0034468",Pizza_Images/John-s of Bleecker St..Image.030637.jpg
Kesté,Neapolitan,4,,,NY,"40.7315345, -74.0029625999999",
L'industrie,New York,3,"Again kind of dry. These new age places are too scared of sauce. And didn't like the excessive parm on top. Giant basil leaves also a bit much. Pretty good crust, very crisp, though bordering on dry.",8/15/2022 14:37:00,NY,"40.7115626999999, -73.9578851",Pizza_Images/L-industrie.Image.025130.jpg
Louie & Ernie's Pizza,New York,5,fresh ground black pepper in the middle of the pie is a nice touch,1/2/2022 12:19:00,NY,"40.8382652, -73.8286345999999",Pizza_Images/Louie & Ernie-s Pizza.Image.025649.jpg
Mama's TOO!,Square,4,,2022-07-01,NY,"40.8008324, -73.9675901",Pizza_Images/Mama-s TOO!.Image.052653.jpg
Motorino Pizzeria - East Village,Neapolitan,5,,5/3/2015 15:39:00,NY,"40.7303588, -73.9838277",Pizza_Images/Motorino Pizzeria - East Village.Image.052622.jpg
Motorino Pizzeria - Williamsburg,Neapolitan,5,,12/24/2018 14:33:00,NY,"40.7104639, -73.9634426",Pizza_Images/Motorino Pizzeria - Williamsburg.Image.051617.jpg
My Pie Pizzeria Romana - Midtown East,Al Taglio,5,excellent. Only real complaint is too much basil. But truly excellent.,8/16/2022 13:50:00,NY,"40.7606989999999, -73.969548",Pizza_Images/My pie.Image.061738.jpg
NY Pizza Suprema,New York,3,,,NY,"40.7501517985297, -73.9952488583408",
Patsy's - East Harlem,Hybrid,5,,,NY,"40.7971527999999, -73.9348807",
Patsy's - UWS,Hybrid,3,"not bad, but not nearly as good as the og",,NY,"40.77870887713313, -73.97745939309831",
Paulie Gee's Slice Shop,New York,4,"Burnt stuff from dirty deck oven not a good start. Overall good, perhaps best ny slice of the day. But crust left me a bit wanting. And a bit too much cheese. But I'll take that over being dry, which this was def not.",8/15/2022 15:37:00,NY,"40.7283642, -73.957175",Pizza_Images/Paulie gee slice shop.Image.025043.jpg
Prince St. Pizza,Square,5,Fantastic. Nice fresh(?) mozz underneath and sauce on top. Great peps of course. Crust kind of doughier than expected? But good,8/15/2022 13:15:00,NY,"40.7230533, -73.9945497",Pizza_Images/Prince st..Image.025258.jpg
Pugsley,New York,3,"bit too much cheese for me. And a bit too salty. But good crust, nice chew. Quite the vibe in here",8/18/2022 13:45:00,NY,"40.8587496, -73.8848173",Pizza_Images/Pugsley.Image.024541.jpg
Rizzo's Pizza,,3,,,NY,"40.7633693999999, -73.9150777999999",
Roberta's,Neapolitan,5,,11/8/2015 15:21:00,NY,"40.7050766, -73.9335922999999",Pizza_Images/Roberta-s.Image.053755.jpg
Rubirosa,Bar,4,"very thin crust, not much rise, almost crackery. Very tasty. Tho rich with the vodka sauce. Lot of parm in one bite.",8/17/2022 14:37:00,NY,"40.722753, -73.996233",Pizza_Images/Rubirosa.Image.024632.jpg
Sacco Pizza,New York,4,,,NY,"40.766272, -73.987249",
Sal and Carmine Pizza,New York,3,,2022-07-01,NY,"40.7983829, -73.9694389999999",
Scarr's,New York,3,Kind of dry tbh. Not enough sauce. Not my fav. Crust very thin and pretty good but not good enough to make up for dryness.,8/15/2022 13:58:00,NY,"40.715337, -73.9914099999999",Pizza_Images/Scarrs.Image.025224.jpg
Churchkey,Other,3,"Too much cheese. And crust underwhelming, kind of dry. Small and overpriced.",1/13/2023 22:10:34,DC,"38.908498, -77.031599",Pizza_Images/61e107ce.Image.031808.jpg
Berries,Other,2,Too much cheese. Sauce over seasoned (oregano).,1/20/2023 13:11:25,FL,"25.737974, -80.238074",Pizza_Images/9b01c075.Image.181237.jpg
A4 Pizza - Union Square,Neapolitan,4,Tasty. But sort of trying too hard. Crust left a little to be wanted.,,MA,"42.382319, -71.102434",
ABC Pizza,Greek,1,What you would expect.,,MA,"42.3661775, -71.105342",
All Star Pizza Bar,,1,not good. Crust was super dried out and had no flavor. Cheese was weird and definitely not just mozzarella. No better than Angelo's but twice the price. Yuppies seem to like it.,,MA,"42.3732573, -71.0980685",
Angelina's,,1,"at least they are trying with the thin crust. But they just drown it in low quality mozz. Also the crust is dry, flavorless, and coated in cornmeal",,MA,"42.4024589999999, -71.1269972",
Angelo's,,1,pretty bad. Crust was weird and whole wheaty almost? Totally dried out. Cheese and sauce had little flavor. Priced correctly though (8.50 for a large pie),,MA,"42.3729824999999, -71.1107293",
Antico Forno,Neapolitan,3,very good. Slightly light on cheese. Crust could be a bit more fluffy. But overall excellent. Very flavorful and fresh. Second visit was disappointing. ingredients seemed worse and lacking that umami flavor. downgraded to 3,,MA,"42.3638224, -71.0556481",
Armando's,New York,4,NY style. Only real NY style around Porter Square. Very good. Reminds me of positive pie. Great sausage. Main limitation is the crust gets tough pretty quickly as the pie cools.,,MA,"42.3823965, -71.1314171999999",Pizza_Images/Armando-s.Image.045304.jpg
Avellino's,New York,3,Not bad. Delivery. crust a bit on the cardboard side but overall serviceable. crust is really the limiting component. cheese and sauce were p good.,,MA,"42.4041503, -71.1004062",
Babbo,Neapolitan,3,"Disappointing. Burnt crust, and little indication the pie would have been much better if cooked properly.",3/3/2018 22:15:00,MA,"42.3541469, -71.0451788",Pizza_Images/Babbo.Image.044614.jpg
Benevento's,,2,average.,,MA,"42.3642823, -71.0553979999999",
Bertucci's,New York,3,sausage and ricotta pie is enjoyable. Other pies much less so. Frequently undercooked.,,MA,"42.3952415, -71.1418388999999",
Blaze,Fast Casual,3,Enjoyable enough and good value. Very thin crust that really doesn't rise or have any flavor.,,MA,"42.3694245999999, -71.0770461999999",
Boston Kitchen Pizza,New York,3,Could have been worse,,MA,"42.3510603, -71.0631071",
Bova's,Square,1,"Surprisingly poor. Crust tasted like dry bread, cheese was excessive and low quality",,MA,"42.3652159, -71.0558911",
Brewer's Fork,Neapolitan,4,Quite good. sadly forget details. would go back.,8/4/2017 19:36:00,MA,"42.3767183, -71.0564719",Pizza_Images/Brewer-s Fork.Image.054834.jpg
Brickstone Cafe,New York,3,Pretty good. Nice thin crust and didn't overdo it with sauce and cheese quantity. unfotunately a bit undercooked and flavors could have been better.,,MA,"42.4145265999999, -71.1503559999999",
Broadway Eatery,Greek,2,"Greek, sadly. But actually not too bad. Decent flavors for what it is.",,MA,"42.403592, -71.127719",
Cambridge House of Pizza,Greek,2,Standard greek. Crust was dry and flaky. could have been worse for the genre.,,MA,"42.397386, -71.130755",
Cambridge Pizza,,3,Better than one would expect.,,MA,"42.3576719, -71.1078842",
Ciao Pizza and Pasta,Neapolitan,5,"Dough was excellent. crisp on the outside, tender and chewy on the inside. unfortunately, tomatoes and mozz left something to be desired. mozz a bit bland an  tomatoes not super fresh tasting. maybe even cooked down a bit? (seems unlikely...). also lacking in olive oil. as a result, lacked that umami flavor of a truly great margherita where everything melds together. still quite enjoyable.",2/16/2017 20:51:00,MA,"42.3892166, -71.0408851999999",Pizza_Images/Ciao Pizza and Pasta.Image.022414.jpg
Cinderella's,,1,arguably the worst pizza I have tried in Cambridge from a dedicated pizza place.,,MA,"42.3635242, -71.0995335999999",
Commune Kitchen,Other,3,"okay. crumb was kinda flaky. the parmesan on the pizza looked and tasted like kraft out of the shaker, bad flavor. also maybe too garlicky? the mozzarella was nice.",10/15/2017 14:36:00,MA,"42.412046, -71.144441",Pizza_Images/Commune Kitchen.Image.055042.jpg
Cristo's,Greek,2,typical greek. crust is bad.,,MA,"42.395049, -71.1214289999999",
Davis Square Pizza & Subs,Greek,2,literally forgettable. i don't even remember,,MA,"42.3943472, -71.1169674999999",
Dirty Water Dough Company,New York,3,"Unremarkable, but decent enough. At least its not greek.",,MA,"42.3497997, -71.0811110999999",
Domino's - Davis Square,,3,Butter crust.,,MA,"42.393816392079046, -71.12051429781323",
Dragon Pizza,New York,3,"kinda tastes like pretty good homemade pizza instead of real pizza. missing that umami flavor. crust was crispy but perhaps a bit dry. cheese and sauce did not stand out either. i feel like i could have made this pizza, and if i had, i would have been satisfied enough but slightly disappointed.",,MA,"42.3949744, -71.1214099",
Eat at Jumbo's,,1,more NY style. Very thin crust. Nice crisp but lacking in flavor.,,MA,"42.3995976, -71.111888",
Emma's,,2,"Crust is super thin and flat, undercooked and under-risen. Topping quality was just okay.",,MA,"42.366361, -71.0920059999999",
Ernesto's - Assembly Square,New York,4,Very good. Interestingly chewy crust. Best slice in Boston.,10/8/2017 2:19:00,MA,"42.3956331, -71.0791342999999",Pizza_Images/Ernesto-s - Assembly Square.Image.052101.jpg
Ernesto's - North End,New York,4,Very good. Interestingly chewy crust. Best slice in Boston.,12/6/2014 14:29:00,MA,"42.3633669999999, -71.055838",Pizza_Images/Ernesto-s - North End.Image.052910.jpg
Felcaro Pizzeria,New York,2,"Not terrible...appreciate that they are going for thin crust NY style and the crust wasn't bad, but the sauce was so over seasoned it became tough to eat",,MA,"42.3610058999999, -71.0680469999999",
Figs,Flatbread,3,Not as bad as I was expecting,,MA,"42.3572048, -71.0702618",
Fiorella's Express,,2,Just pretty underwhelming overall. too much cheese and it all tried to pull off on the first bite. crust was coated in a ton of cornmeal.,,MA,"42.3973685, -71.1298790999999",
Flatbread Company - Somerville,Flatbread,4,"pretty good. somewhat hit or miss. Flatbread slice shape is just kind of annoying. Crust often too crispy, not enough flavor/aeration. Generally tasty sauce/cheese/toppings.",,MA,"42.3956672, -71.1238283",
Galleria Umberto,Square,4,Sicilian style. Best Sicilian I've tried.,12/6/2014 14:11:00,MA,"42.3637796999999, -71.0541991",Pizza_Images/Galleria Umberto.Image.052729.jpg
Gran Gusto,Neapolitan,4,Neapolitan. Take out so a bit cold. Quite good. Below antico forno. Salami tasty but could be spicier. Mozz not melted enough. Crust a bit too chewy/not fluffy.,10/4/2014 20:37:00,MA,"42.3886727999999, -71.1322910999999",Pizza_Images/Gran Gusto.Image.053300.jpg
Harvard House of Pizza,Greek,1,Greek style. Delivers late...,,MA,"42.3832996, -71.1198597",
Haymarket Pizza,New York,2,Cheap. Liked the haymarket vibes. But pretty low quality pizza. Sauce was sweet and seemed like it had already been cooked twice.,,MA,"42.3615834, -71.0564508",
La Cascia's Bakery,Square,1,Disappointing. All components tasted low quality. Cheese was barely even melted? Didn't finish,,MA,"42.403747, -71.1069832",
La Pizza & La Pasta,Neapolitan,4,"At Eataly, made by Italian pizza chain Rossopomodoro. Pretty good. Tough to say since pizza sat for ~20 minutes before being eaten. Mozz did not taste like bufala. Will need to try again.",,MA,"42.3473046, -71.0819042",
Leone's Sub and Pizza,Square,3,Good. Really between a 3 and a 4.,,MA,"42.3919462, -71.092481",
Lisa's Family Pizzeria,Greek,1,"your standard Greek style Boston pizza...enjoyable enough, but would not seek out again",,MA,"42.4128364999999, -71.1239812",
Locale,Neapolitan,4,One of best pizzas in Boston. Not quite traditional neapolitan. Very tasty. Great Soppressata. Update: sad to demote this to a 4. has gone downhill. crust and flavors just weren't there on most recent visit. cheese is still v good tho.,12/6/2014 15:18:00,MA,"42.365113, -71.0533583",Pizza_Images/Locale.Image.055628.jpg
Mamma Lisa Pizza House,New York,3,Good. Really between a 3 and a 4. Cheese was interesting in a good way. Maybe some cheddar in there?,,MA,"42.3924091999999, -71.0932821",
Mike's Food & Spirits,New York,3,"Not very good, but serviceable in a pinch. All ingredients taste low quality (dough, cheese, sauce), also too much dough and cheese, not enough sauce.",,MA,"42.39617, -71.122046",
Monica's Mercato Pizza,New York,4,"Satisfying. Sort of a hybrid between the style's of ernesto's and otto. Meat lover's in particular was enjoyable, which is uncommon.",,MA,"42.3650772, -71.0555815",
New York Pizza,New York,2,ok New York street slice. Giant slices are nice novelty but crust struggled towards center,,MA,"42.340563, -71.082089",
Newtowne Grill,New York,4,"crust is the highlight, surprisingly. sauce and cheese could be improved. value can't be beat.",,MA,"42.3897402, -71.1200824",Pizza_Images/Newtowne Grill.Image.054238.jpg
Nino's,New York,4,surprisingly good. crispy crust. cheese and sauce were nice. slice had that nice balanced blend of sauce and cheese. splotchy appearance.,,MA,"42.358382, -71.070468",
Oath,Not Pizza,2,i'm being generous even including this on the list. crust is some sort of pre-made fried dough deal. crispy underneath but oily and tough to chew. overall could have been worse.,,MA,"42.396122, -71.1224752",
Oggi Gourmet,New York,3,tasty. Well balanced.,,MA,"42.3726714, -71.1187216999999",
Otto,New York,4,NY style. Just a slice. Very satisfying. Sauce on top style. Flavorful cheese. second trip was fantastic. Very flavorful tomatoes. Moved up a half tier.,,MA,"42.3741675999999, -71.1191026999999",Pizza_Images/Otto.Image.053918.jpg
Parziale's,Square,5,bakery style. Very tasty. Served room temp. Tomatoes were delicious as was dough.,,MA,"42.3653142, -71.0557602",Pizza_Images/Parziale-s.Image.062124.jpg
Pasta Beach,Neapolitan,3,"pretty good. Tasty. Oven is probably not quite hot enough, but close. I'd say better than Quattro and the like which are trying too hard.",,MA,"42.356899, -71.0502639999999",
Pastoral,Neapolitan,4,"Crust was good, sauce and cheese delivered the right umami flavors.",,MA,"42.3505448, -71.0490234999999",
